O*NET-SOC Code,Title,Related O*NET-SOC Code,Related Title,Index
19-4011.01,Agricultural Technicians,51-4192.00,"Layout Workers, Metal and Plastic",7
19-4011.01,Agricultural Technicians,53-6051.07,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",8
19-4011.01,Agricultural Technicians,51-8013.00,Power Plant Operators,9
19-4011.01,Agricultural Technicians,19-4031.00,Chemical Technicians,10
19-4011.02,Food Science Technicians,19-4041.01,Geophysical Data Technicians,1
19-4011.02,Food Science Technicians,17-3022.00,Civil Engineering Technicians,2
19-4011.02,Food Science Technicians,29-2099.01,Neurodiagnostic Technologists,3
19-4011.02,Food Science Technicians,29-2011.00,Medical and Clinical Laboratory Technologists,4
19-4011.02,Food Science Technicians,47-4011.00,Construction and Building Inspectors,5
19-4011.02,Food Science Technicians,17-3023.03,Electrical Engineering Technicians,6
19-4011.02,Food Science Technicians,49-2091.00,Avionics Technicians,7
19-4011.02,Food Science Technicians,27-4012.00,Broadcast Technicians,8
19-4011.02,Food Science Technicians,33-3021.02,Police Identification and Records Officers,9
19-4011.02,Food Science Technicians,29-9012.00,Occupational Health and Safety Technicians,10
19-4021.00,Biological Technicians,19-4099.02,Precision Agriculture Technicians,1
19-4021.00,Biological Technicians,49-2011.00,"Computer, Automated Teller, and Office Machine Repairers",2
19-4021.00,Biological Technicians,49-2091.00,Avionics Technicians,3
19-4021.00,Biological Technicians,27-4012.00,Broadcast Technicians,4
19-4021.00,Biological Technicians,49-9061.00,Camera and Photographic Equipment Repairers,5
19-4021.00,Biological Technicians,29-2011.03,Histotechnologists and Histologic Technicians,6
19-4021.00,Biological Technicians,17-3023.01,Electronics Engineering Technicians,7
19-4021.00,Biological Technicians,17-3025.00,Environmental Engineering Technicians,8
19-4021.00,Biological Technicians,17-1022.01,Geodetic Surveyors,9
19-4021.00,Biological Technicians,17-3029.09,Manufacturing Production Technicians,10
19-4031.00,Chemical Technicians,19-4091.00,"Environmental Science and Protection Technicians, Including Health",1
19-4031.00,Chemical Technicians,49-2091.00,Avionics Technicians,2
19-4031.00,Chemical Technicians,49-2021.01,Radio Mechanics,3
19-4031.00,Chemical Technicians,17-3027.00,Mechanical Engineering Technicians,4
19-4031.00,Chemical Technicians,19-4099.02,Precision Agriculture Technicians,5
19-4031.00,Chemical Technicians,29-2011.00,Medical and Clinical Laboratory Technologists,6
19-4031.00,Chemical Technicians,49-2011.00,"Computer, Automated Teller, and Office Machine Repairers",7
19-4031.00,Chemical Technicians,29-2011.03,Histotechnologists and Histologic Technicians,8
19-4031.00,Chemical Technicians,17-3029.01,Non-Destructive Testing Specialists,9
19-4031.00,Chemical Technicians,29-2099.01,Neurodiagnostic Technologists,10
19-4041.01,Geophysical Data Technicians,49-2011.00,"Computer, Automated Teller, and Office Machine Repairers",1
19-4041.01,Geophysical Data Technicians,49-2021.01,Radio Mechanics,2
19-4041.01,Geophysical Data Technicians,27-4012.00,Broadcast Technicians,3
19-4041.01,Geophysical Data Technicians,19-4011.02,Food Science Technicians,4
19-4041.01,Geophysical Data Technicians,19-4021.00,Biological Technicians,5
19-4041.01,Geophysical Data Technicians,17-3023.03,Electrical Engineering Technicians,6
19-4041.01,Geophysical Data Technicians,19-4099.02,Precision Agriculture Technicians,7
19-4041.01,Geophysical Data Technicians,19-4031.00,Chemical Technicians,8
19-4041.01,Geophysical Data Technicians,47-4011.00,Construction and Building Inspectors,9
19-4041.01,Geophysical Data Technicians,17-3011.02,Civil Drafters,10
19-4041.02,Geological Sample Test Technicians,53-6051.01,Aviation Inspectors,1
19-4041.02,Geological Sample Test Technicians,19-4091.00,"Environmental Science and Protection Technicians, Including Health",2
19-4041.02,Geological Sample Test Technicians,29-2011.00,Medical and Clinical Laboratory Technologists,3
19-4041.02,Geological Sample Test Technicians,51-4012.00,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",4
19-4041.02,Geological Sample Test Technicians,33-3021.02,Police Identification and Records Officers,5
19-4041.02,Geological Sample Test Technicians,49-9062.00,Medical Equipment Repairers,6
19-4041.02,Geological Sample Test Technicians,47-4021.00,Elevator Installers and Repairers,7
19-4041.02,Geological Sample Test Technicians,49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers",8
19-4041.02,Geological Sample Test Technicians,17-1022.00,Surveyors,9
19-4041.02,Geological Sample Test Technicians,17-1022.01,Geodetic Surveyors,10
19-4051.01,Nuclear Equipment Operation Technicians,17-3029.01,Non-Destructive Testing Specialists,1
19-4051.01,Nuclear Equipment Operation Technicians,47-5031.00,"Explosives Workers, Ordnance Handling Experts, and Blasters",2
19-4051.01,Nuclear Equipment Operation Technicians,17-3025.00,Environmental Engineering Technicians,3
19-4051.01,Nuclear Equipment Operation Technicians,53-6051.07,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",4
19-4051.01,Nuclear Equipment Operation Technicians,49-9062.00,Medical Equipment Repairers,5
19-4051.01,Nuclear Equipment Operation Technicians,49-3092.00,Recreational Vehicle Service Technicians,6
19-4051.01,Nuclear Equipment Operation Technicians,49-3011.00,Aircraft Mechanics and Service Technicians,7
19-4051.01,Nuclear Equipment Operation Technicians,51-4041.00,Machinists,8
19-4051.01,Nuclear Equipment Operation Technicians,17-3027.00,Mechanical Engineering Technicians,9
19-4051.01,Nuclear Equipment Operation Technicians,49-2091.00,Avionics Technicians,10
19-4051.02,Nuclear Monitoring Technicians,47-4011.00,Construction and Building Inspectors,1
19-4051.02,Nuclear Monitoring Technicians,33-3021.02,Police Identification and Records Officers,2
19-4051.02,Nuclear Monitoring Technicians,49-2091.00,Avionics Technicians,3
19-4051.02,Nuclear Monitoring Technicians,29-2011.00,Medical and Clinical Laboratory Technologists,4
19-4051.02,Nuclear Monitoring Technicians,29-2011.03,Histotechnologists and Histologic Technicians,5
19-4051.02,Nuclear Monitoring Technicians,19-4091.00,"Environmental Science and Protection Technicians, Including Health",6
19-4051.02,Nuclear Monitoring Technicians,29-2099.01,Neurodiagnostic Technologists,7
19-4051.02,Nuclear Monitoring Technicians,53-6051.01,Aviation Inspectors,8
19-4051.02,Nuclear Monitoring Technicians,49-3011.00,Aircraft Mechanics and Service Technicians,9
19-4051.02,Nuclear Monitoring Technicians,47-5031.00,"Explosives Workers, Ordnance Handling Experts, and Blasters",10
19-4061.00,Social Science Research Assistants,23-1012.00,Judicial Law Clerks,1
19-4061.00,Social Science Research Assistants,25-4011.00,Archivists,2
19-4061.00,Social Science Research Assistants,19-3099.01,Transportation Planners,3
19-4061.00,Social Science Research Assistants,15-1141.00,Database Administrators,4
19-4061.00,Social Science Research Assistants,23-2011.00,Paralegals and Legal Assistants,5
19-4061.00,Social Science Research Assistants,19-3022.00,Survey Researchers,6
19-4061.00,Social Science Research Assistants,15-2041.02,Clinical Data Managers,7
19-4061.00,Social Science Research Assistants,15-2011.00,Actuaries,8
19-4061.00,Social Science Research Assistants,15-2041.00,Statisticians,9
19-4061.00,Social Science Research Assistants,13-1031.01,"Claims Examiners, Property and Casualty Insurance",10
19-4061.01,City and Regional Planning Aides,43-4011.00,Brokerage Clerks,1
19-4061.01,City and Regional Planning Aides,43-6011.00,Executive Secretaries and Executive Administrative Assistants,2
19-4061.01,City and Regional Planning Aides,13-1031.01,"Claims Examiners, Property and Casualty Insurance",3
19-4061.01,City and Regional Planning Aides,13-1031.02,"Insurance Adjusters, Examiners, and Investigators",4
19-4061.01,City and Regional Planning Aides,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping",5
19-4061.01,City and Regional Planning Aides,43-3021.02,"Billing, Cost, and Rate Clerks",6
19-4061.01,City and Regional Planning Aides,13-2053.00,Insurance Underwriters,7
19-4061.01,City and Regional Planning Aides,29-9012.00,Occupational Health and Safety Technicians,8
19-4061.01,City and Regional Planning Aides,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",9
19-4061.01,City and Regional Planning Aides,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",10
19-4091.00,"Environmental Science and Protection Technicians, Including Health",17-3027.00,Mechanical Engineering Technicians,1
19-4091.00,"Environmental Science and Protection Technicians, Including Health",19-4031.00,Chemical Technicians,2
19-4091.00,"Environmental Science and Protection Technicians, Including Health",17-3031.01,Surveying Technicians,3
19-4091.00,"Environmental Science and Protection Technicians, Including Health",17-3029.04,Electronics Engineering Technologists,4
19-4091.00,"Environmental Science and Protection Technicians, Including Health",49-2011.00,"Computer, Automated Teller, and Office Machine Repairers",5
19-4091.00,"Environmental Science and Protection Technicians, Including Health",49-2021.01,Radio Mechanics,6
19-4091.00,"Environmental Science and Protection Technicians, Including Health",19-1023.00,Zoologists and Wildlife Biologists,7
19-4091.00,"Environmental Science and Protection Technicians, Including Health",47-4011.00,Construction and Building Inspectors,8
19-4091.00,"Environmental Science and Protection Technicians, Including Health",33-3021.02,Police Identification and Records Officers,9
19-4091.00,"Environmental Science and Protection Technicians, Including Health",19-1031.02,Range Managers,10
19-4092.00,Forensic Science Technicians,17-3029.06,Manufacturing Engineering Technologists,1
19-4092.00,Forensic Science Technicians,51-4012.00,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",2
19-4092.00,Forensic Science Technicians,17-3026.00,Industrial Engineering Technicians,3
19-4092.00,Forensic Science Technicians,17-3029.04,Electronics Engineering Technologists,4
19-4092.00,Forensic Science Technicians,33-2021.02,Fire Investigators,5
19-4092.00,Forensic Science Technicians,53-6051.01,Aviation Inspectors,6
19-4092.00,Forensic Science Technicians,19-2031.00,Chemists,7
19-4092.00,Forensic Science Technicians,19-2041.00,"Environmental Scientists and Specialists, Including Health",8
19-4092.00,Forensic Science Technicians,17-1022.00,Surveyors,9
19-4092.00,Forensic Science Technicians,19-1012.00,Food Scientists and Technologists,10
19-4093.00,Forest and Conservation Technicians,33-2021.01,Fire Inspectors,1
19-4093.00,Forest and Conservation Technicians,47-2152.02,Plumbers,2
19-4093.00,Forest and Conservation Technicians,45-1011.06,First-Line Supervisors of Aquacultural Workers,3
19-4093.00,Forest and Conservation Technicians,39-2011.00,Animal Trainers,4
19-4093.00,Forest and Conservation Technicians,47-2111.00,Electricians,5
19-4093.00,Forest and Conservation Technicians,49-9021.01,Heating and Air Conditioning Mechanics and Installers,6
19-4093.00,Forest and Conservation Technicians,45-1011.08,First-Line Supervisors of Animal Husbandry and Animal Care Workers,7
19-4093.00,Forest and Conservation Technicians,49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers",8
19-4093.00,Forest and Conservation Technicians,47-2031.01,Construction Carpenters,9
19-4093.00,Forest and Conservation Technicians,19-1031.01,Soil and Water Conservationists,10
19-4099.02,Precision Agriculture Technicians,17-3029.01,Non-Destructive Testing Specialists,1
19-4099.02,Precision Agriculture Technicians,17-3029.04,Electronics Engineering Technologists,2
19-4099.02,Precision Agriculture Technicians,49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",3
19-4099.02,Precision Agriculture Technicians,13-1041.01,Environmental Compliance Inspectors,4
19-4099.02,Precision Agriculture Technicians,45-2011.00,Agricultural Inspectors,5
19-4099.02,Precision Agriculture Technicians,19-4021.00,Biological Technicians,6
19-4099.02,Precision Agriculture Technicians,49-2011.00,"Computer, Automated Teller, and Office Machine Repairers",7
19-4099.02,Precision Agriculture Technicians,19-1031.02,Range Managers,8
19-4099.02,Precision Agriculture Technicians,19-2043.00,Hydrologists,9
19-4099.02,Precision Agriculture Technicians,19-4041.01,Geophysical Data Technicians,10
21-1011.00,Substance Abuse and Behavioral Disorder Counselors,25-2054.00,"Special Education Teachers, Secondary School",1
21-1011.00,Substance Abuse and Behavioral Disorder Counselors,21-1023.00,Mental Health and Substance Abuse Social Workers,2
21-1011.00,Substance Abuse and Behavioral Disorder Counselors,21-1022.00,Healthcare Social Workers,3
21-1011.00,Substance Abuse and Behavioral Disorder Counselors,21-1015.00,Rehabilitation Counselors,4
21-1011.00,Substance Abuse and Behavioral Disorder Counselors,25-2012.00,"Kindergarten Teachers, Except Special Education",5
21-1011.00,Substance Abuse and Behavioral Disorder Counselors,25-2023.00,"Career/Technical Education Teachers, Middle School",6
21-1011.00,Substance Abuse and Behavioral Disorder Counselors,25-2021.00,"Elementary School Teachers, Except Special Education",7
21-1011.00,Substance Abuse and Behavioral Disorder Counselors,25-1192.00,"Home Economics Teachers, Postsecondary",8
21-1011.00,Substance Abuse and Behavioral Disorder Counselors,21-1013.00,Marriage and Family Therapists,9
21-1011.00,Substance Abuse and Behavioral Disorder Counselors,29-1141.02,Advanced Practice Psychiatric Nurses,10
21-1012.00,"Educational, Guidance, School, and Vocational Counselors",25-2054.00,"Special Education Teachers, Secondary School",1
21-1012.00,"Educational, Guidance, School, and Vocational Counselors",21-1022.00,Healthcare Social Workers,2
21-1012.00,"Educational, Guidance, School, and Vocational Counselors",21-1011.00,Substance Abuse and Behavioral Disorder Counselors,3
21-1012.00,"Educational, Guidance, School, and Vocational Counselors",21-1021.00,"Child, Family, and School Social Workers",4
21-1012.00,"Educational, Guidance, School, and Vocational Counselors",25-2021.00,"Elementary School Teachers, Except Special Education",5
21-1012.00,"Educational, Guidance, School, and Vocational Counselors",25-2012.00,"Kindergarten Teachers, Except Special Education",6
21-1012.00,"Educational, Guidance, School, and Vocational Counselors",25-2053.00,"Special Education Teachers, Middle School",7
21-1012.00,"Educational, Guidance, School, and Vocational Counselors",21-1023.00,Mental Health and Substance Abuse Social Workers,8
21-1012.00,"Educational, Guidance, School, and Vocational Counselors",43-4051.03,Patient Representatives,9
21-1012.00,"Educational, Guidance, School, and Vocational Counselors",13-1151.00,Training and Development Specialists,10
21-1013.00,Marriage and Family Therapists,25-1081.00,"Education Teachers, Postsecondary",1
21-1013.00,Marriage and Family Therapists,25-9031.00,Instructional Coordinators,2
21-1013.00,Marriage and Family Therapists,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education",3
21-1013.00,Marriage and Family Therapists,25-2054.00,"Special Education Teachers, Secondary School",4
21-1013.00,Marriage and Family Therapists,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",5
21-1013.00,Marriage and Family Therapists,25-1192.00,"Home Economics Teachers, Postsecondary",6
21-1013.00,Marriage and Family Therapists,25-2021.00,"Elementary School Teachers, Except Special Education",7
21-1013.00,Marriage and Family Therapists,21-1022.00,Healthcare Social Workers,8
21-1013.00,Marriage and Family Therapists,29-1127.00,Speech-Language Pathologists,9
21-1013.00,Marriage and Family Therapists,23-1022.00,"Arbitrators, Mediators, and Conciliators",10
21-1014.00,Mental Health Counselors,21-1022.00,Healthcare Social Workers,1
21-1014.00,Mental Health Counselors,25-2054.00,"Special Education Teachers, Secondary School",2
21-1014.00,Mental Health Counselors,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",3
21-1014.00,Mental Health Counselors,25-9031.00,Instructional Coordinators,4
21-1014.00,Mental Health Counselors,25-2053.00,"Special Education Teachers, Middle School",5
21-1014.00,Mental Health Counselors,25-1192.00,"Home Economics Teachers, Postsecondary",6
21-1014.00,Mental Health Counselors,29-9092.00,Genetic Counselors,7
21-1014.00,Mental Health Counselors,19-3031.01,School Psychologists,8
21-1014.00,Mental Health Counselors,19-3031.02,Clinical Psychologists,9
21-1014.00,Mental Health Counselors,29-1127.00,Speech-Language Pathologists,10
21-1015.00,Rehabilitation Counselors,25-2054.00,"Special Education Teachers, Secondary School",1
21-1015.00,Rehabilitation Counselors,21-1012.00,"Educational, Guidance, School, and Vocational Counselors",2
21-1015.00,Rehabilitation Counselors,25-2023.00,"Career/Technical Education Teachers, Middle School",3
21-1015.00,Rehabilitation Counselors,21-1014.00,Mental Health Counselors,4
21-1015.00,Rehabilitation Counselors,25-3011.00,Adult Basic and Secondary Education and Literacy Teachers and Instructors,5
21-1015.00,Rehabilitation Counselors,13-1151.00,Training and Development Specialists,6
21-1015.00,Rehabilitation Counselors,43-4051.03,Patient Representatives,7
21-1015.00,Rehabilitation Counselors,29-9092.00,Genetic Counselors,8
21-1015.00,Rehabilitation Counselors,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",9
21-1015.00,Rehabilitation Counselors,29-1141.02,Advanced Practice Psychiatric Nurses,10
21-1021.00,"Child, Family, and School Social Workers",21-1022.00,Healthcare Social Workers,1
21-1021.00,"Child, Family, and School Social Workers",25-2054.00,"Special Education Teachers, Secondary School",2
21-1021.00,"Child, Family, and School Social Workers",21-1012.00,"Educational, Guidance, School, and Vocational Counselors",3
21-1021.00,"Child, Family, and School Social Workers",25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",4
21-1021.00,"Child, Family, and School Social Workers",25-2021.00,"Elementary School Teachers, Except Special Education",5
21-1021.00,"Child, Family, and School Social Workers",21-1015.00,Rehabilitation Counselors,6
21-1021.00,"Child, Family, and School Social Workers",25-2012.00,"Kindergarten Teachers, Except Special Education",7
21-1021.00,"Child, Family, and School Social Workers",25-2053.00,"Special Education Teachers, Middle School",8
21-1021.00,"Child, Family, and School Social Workers",13-1151.00,Training and Development Specialists,9
21-1021.00,"Child, Family, and School Social Workers",43-4051.03,Patient Representatives,10
21-1022.00,Healthcare Social Workers,25-2054.00,"Special Education Teachers, Secondary School",1
21-1022.00,Healthcare Social Workers,25-2021.00,"Elementary School Teachers, Except Special Education",2
21-1022.00,Healthcare Social Workers,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",3
21-1022.00,Healthcare Social Workers,21-1015.00,Rehabilitation Counselors,4
21-1022.00,Healthcare Social Workers,25-2053.00,"Special Education Teachers, Middle School",5
21-1022.00,Healthcare Social Workers,29-1141.02,Advanced Practice Psychiatric Nurses,6
21-1022.00,Healthcare Social Workers,29-1127.00,Speech-Language Pathologists,7
21-1022.00,Healthcare Social Workers,29-1122.00,Occupational Therapists,8
21-1022.00,Healthcare Social Workers,25-1072.00,"Nursing Instructors and Teachers, Postsecondary",9
21-1022.00,Healthcare Social Workers,29-1161.00,Nurse Midwives,10
21-1023.00,Mental Health and Substance Abuse Social Workers,25-2054.00,"Special Education Teachers, Secondary School",1
21-1023.00,Mental Health and Substance Abuse Social Workers,25-2021.00,"Elementary School Teachers, Except Special Education",2
21-1023.00,Mental Health and Substance Abuse Social Workers,25-2023.00,"Career/Technical Education Teachers, Middle School",3
21-1023.00,Mental Health and Substance Abuse Social Workers,25-2053.00,"Special Education Teachers, Middle School",4
21-1023.00,Mental Health and Substance Abuse Social Workers,29-1127.00,Speech-Language Pathologists,5
21-1023.00,Mental Health and Substance Abuse Social Workers,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",6
21-1023.00,Mental Health and Substance Abuse Social Workers,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education",7
21-1023.00,Mental Health and Substance Abuse Social Workers,29-9092.00,Genetic Counselors,8
21-1023.00,Mental Health and Substance Abuse Social Workers,13-1151.00,Training and Development Specialists,9
21-1023.00,Mental Health and Substance Abuse Social Workers,25-3011.00,Adult Basic and Secondary Education and Literacy Teachers and Instructors,10
21-1091.00,Health Educators,23-1022.00,"Arbitrators, Mediators, and Conciliators",1
21-1091.00,Health Educators,21-1012.00,"Educational, Guidance, School, and Vocational Counselors",2
21-1091.00,Health Educators,29-1125.00,Recreational Therapists,3
21-1091.00,Health Educators,11-9031.00,"Education Administrators, Preschool and Childcare Center/Program",4
21-1091.00,Health Educators,21-1013.00,Marriage and Family Therapists,5
21-1091.00,Health Educators,25-2054.00,"Special Education Teachers, Secondary School",6
21-1091.00,Health Educators,25-1081.00,"Education Teachers, Postsecondary",7
21-1091.00,Health Educators,25-1011.00,"Business Teachers, Postsecondary",8
21-1091.00,Health Educators,25-9031.00,Instructional Coordinators,9
21-1091.00,Health Educators,21-1022.00,Healthcare Social Workers,10
21-1092.00,Probation Officers and Correctional Treatment Specialists,43-4051.03,Patient Representatives,1
21-1092.00,Probation Officers and Correctional Treatment Specialists,39-9041.00,Residential Advisors,2
21-1092.00,Probation Officers and Correctional Treatment Specialists,13-1071.00,Human Resources Specialists,3
21-1092.00,Probation Officers and Correctional Treatment Specialists,13-1041.03,Equal Opportunity Representatives and Officers,4
21-1092.00,Probation Officers and Correctional Treatment Specialists,43-4061.00,"Eligibility Interviewers, Government Programs",5
21-1092.00,Probation Officers and Correctional Treatment Specialists,31-9092.00,Medical Assistants,6
21-1092.00,Probation Officers and Correctional Treatment Specialists,31-9099.01,Speech-Language Pathology Assistants,7
21-1092.00,Probation Officers and Correctional Treatment Specialists,21-1022.00,Healthcare Social Workers,8
21-1092.00,Probation Officers and Correctional Treatment Specialists,21-1011.00,Substance Abuse and Behavioral Disorder Counselors,9
21-1092.00,Probation Officers and Correctional Treatment Specialists,23-1022.00,"Arbitrators, Mediators, and Conciliators",10
21-1093.00,Social and Human Service Assistants,13-1041.02,Licensing Examiners and Inspectors,1
21-1093.00,Social and Human Service Assistants,43-5031.00,"Police, Fire, and Ambulance Dispatchers",2
21-1093.00,Social and Human Service Assistants,39-4031.00,"Morticians, Undertakers, and Funeral Directors",3
21-1093.00,Social and Human Service Assistants,39-1021.00,First-Line Supervisors of Personal Service Workers,4
21-1093.00,Social and Human Service Assistants,43-4051.03,Patient Representatives,5
21-1093.00,Social and Human Service Assistants,31-9092.00,Medical Assistants,6
21-1093.00,Social and Human Service Assistants,39-6012.00,Concierges,7
21-1093.00,Social and Human Service Assistants,29-9012.00,Occupational Health and Safety Technicians,8
21-1093.00,Social and Human Service Assistants,31-1013.00,Psychiatric Aides,9
21-1093.00,Social and Human Service Assistants,43-4061.00,"Eligibility Interviewers, Government Programs",10
21-2011.00,Clergy,25-3011.00,Adult Basic and Secondary Education and Literacy Teachers and Instructors,1
21-2011.00,Clergy,25-2012.00,"Kindergarten Teachers, Except Special Education",2
21-2011.00,Clergy,13-1151.00,Training and Development Specialists,3
21-2011.00,Clergy,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",4
21-2011.00,Clergy,11-3131.00,Training and Development Managers,5
21-2011.00,Clergy,21-1021.00,"Child, Family, and School Social Workers",6
21-2011.00,Clergy,25-2054.00,"Special Education Teachers, Secondary School",7
21-2011.00,Clergy,21-1011.00,Substance Abuse and Behavioral Disorder Counselors,8
21-2011.00,Clergy,25-9031.00,Instructional Coordinators,9
21-2011.00,Clergy,27-3031.00,Public Relations Specialists,10
21-2021.00,"Directors, Religious Activities and Education",11-9151.00,Social and Community Service Managers,1
21-2021.00,"Directors, Religious Activities and Education",23-1022.00,"Arbitrators, Mediators, and Conciliators",2
21-2021.00,"Directors, Religious Activities and Education",11-3131.00,Training and Development Managers,3
21-2021.00,"Directors, Religious Activities and Education",11-3121.00,Human Resources Managers,4
21-2021.00,"Directors, Religious Activities and Education",11-9032.00,"Education Administrators, Elementary and Secondary School",5
21-2021.00,"Directors, Religious Activities and Education",25-2012.00,"Kindergarten Teachers, Except Special Education",6
21-2021.00,"Directors, Religious Activities and Education",21-1012.00,"Educational, Guidance, School, and Vocational Counselors",7
21-2021.00,"Directors, Religious Activities and Education",39-9041.00,Residential Advisors,8
21-2021.00,"Directors, Religious Activities and Education",21-1091.00,Health Educators,9
21-2021.00,"Directors, Religious Activities and Education",13-1151.00,Training and Development Specialists,10
23-1011.00,Lawyers,25-4012.00,Curators,1
23-1011.00,Lawyers,11-2021.00,Marketing Managers,2
23-1011.00,Lawyers,11-1011.00,Chief Executives,3
23-1011.00,Lawyers,11-2011.00,Advertising and Promotions Managers,4
23-1011.00,Lawyers,11-9033.00,"Education Administrators, Postsecondary",5
23-1011.00,Lawyers,11-9121.01,Clinical Research Coordinators,6
23-1011.00,Lawyers,19-3032.00,Industrial-Organizational Psychologists,7
23-1011.00,Lawyers,27-2012.03,Program Directors,8
23-1011.00,Lawyers,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",9
23-1011.00,Lawyers,25-1065.00,"Political Science Teachers, Postsecondary",10
23-1012.00,Judicial Law Clerks,13-2053.00,Insurance Underwriters,1
23-1012.00,Judicial Law Clerks,13-1161.00,Market Research Analysts and Marketing Specialists,2
23-1012.00,Judicial Law Clerks,19-4061.00,Social Science Research Assistants,3
23-1012.00,Judicial Law Clerks,13-2031.00,Budget Analysts,4
23-1012.00,Judicial Law Clerks,13-2011.02,Auditors,5
23-1012.00,Judicial Law Clerks,13-2011.01,Accountants,6
23-1012.00,Judicial Law Clerks,15-2041.02,Clinical Data Managers,7
23-1012.00,Judicial Law Clerks,13-1081.02,Logistics Analysts,8
23-1012.00,Judicial Law Clerks,11-9199.01,Regulatory Affairs Managers,9
23-1012.00,Judicial Law Clerks,15-2011.00,Actuaries,10
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",11-9121.01,Clinical Research Coordinators,1
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",11-9033.00,"Education Administrators, Postsecondary",2
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",13-1111.00,Management Analysts,3
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",27-3031.00,Public Relations Specialists,4
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",13-1081.00,Logisticians,5
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",11-3121.00,Human Resources Managers,6
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",19-3032.00,Industrial-Organizational Psychologists,7
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",11-9199.01,Regulatory Affairs Managers,8
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",25-4012.00,Curators,9
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",13-2061.00,Financial Examiners,10
23-1022.00,"Arbitrators, Mediators, and Conciliators",11-9031.00,"Education Administrators, Preschool and Childcare Center/Program",1
23-1022.00,"Arbitrators, Mediators, and Conciliators",25-1081.00,"Education Teachers, Postsecondary",2
23-1022.00,"Arbitrators, Mediators, and Conciliators",25-1011.00,"Business Teachers, Postsecondary",3
23-1022.00,"Arbitrators, Mediators, and Conciliators",25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education",4
23-1022.00,"Arbitrators, Mediators, and Conciliators",11-9032.00,"Education Administrators, Elementary and Secondary School",5
23-1022.00,"Arbitrators, Mediators, and Conciliators",11-9151.00,Social and Community Service Managers,6
23-1022.00,"Arbitrators, Mediators, and Conciliators",25-9031.00,Instructional Coordinators,7
23-1022.00,"Arbitrators, Mediators, and Conciliators",21-1013.00,Marriage and Family Therapists,8
23-1022.00,"Arbitrators, Mediators, and Conciliators",21-1091.00,Health Educators,9
23-1022.00,"Arbitrators, Mediators, and Conciliators",27-3021.00,Broadcast News Analysts,10
23-1023.00,"Judges, Magistrate Judges, and Magistrates",11-9032.00,"Education Administrators, Elementary and Secondary School",1
23-1023.00,"Judges, Magistrate Judges, and Magistrates",11-9033.00,"Education Administrators, Postsecondary",2
23-1023.00,"Judges, Magistrate Judges, and Magistrates",11-9111.00,Medical and Health Services Managers,3
23-1023.00,"Judges, Magistrate Judges, and Magistrates",11-3121.00,Human Resources Managers,4
23-1023.00,"Judges, Magistrate Judges, and Magistrates",11-9151.00,Social and Community Service Managers,5
23-1023.00,"Judges, Magistrate Judges, and Magistrates",29-1066.00,Psychiatrists,6
23-1023.00,"Judges, Magistrate Judges, and Magistrates",11-1011.00,Chief Executives,7
23-1023.00,"Judges, Magistrate Judges, and Magistrates",13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",8
23-1023.00,"Judges, Magistrate Judges, and Magistrates",11-2031.00,Public Relations and Fundraising Managers,9
23-1023.00,"Judges, Magistrate Judges, and Magistrates",41-3031.01,"Sales Agents, Securities and Commodities",10
23-2011.00,Paralegals and Legal Assistants,43-4161.00,"Human Resources Assistants, Except Payroll and Timekeeping",1
